interval_start_timestamp,speaking_minutes
2024-08-06T00:00:00+00:00,54
2024-08-07T00:00:00+00:00,215
2024-08-08T00:00:00+00:00,22
2024-08-09T00:00:00+00:00,19
2024-08-10T00:00:00+00:00,20
2024-08-11T00:00:00+00:00,0
2024-08-12T00:00:00+00:00,32
2024-08-13T00:00:00+00:00,0
2024-08-14T00:00:00+00:00,1
2024-08-15T00:00:00+00:00,321
2024-08-16T00:00:00+00:00,0
2024-08-17T00:00:00+00:00,280
2024-08-18T00:00:00+00:00,6
2024-08-19T00:00:00+00:00,205
2024-08-20T00:00:00+00:00,187
2024-08-21T00:00:00+00:00,125
2024-08-22T00:00:00+00:00,4
2024-08-23T00:00:00+00:00,2
2024-08-24T00:00:00+00:00,47
2024-08-25T00:00:00+00:00,259
2024-08-26T00:00:00+00:00,166
2024-08-27T00:00:00+00:00,305
2024-08-28T00:00:00+00:00,68
2024-08-29T00:00:00+00:00,2
2024-08-30T00:00:00+00:00,245
2024-08-31T00:00:00+00:00,4
2024-09-01T00:00:00+00:00,126
2024-09-02T00:00:00+00:00,157
2024-09-03T00:00:00+00:00,378
2024-09-04T00:00:00+00:00,227
2024-09-05T00:00:00+00:00,280
2024-09-06T00:00:00+00:00,480
2024-09-07T00:00:00+00:00,49
2024-09-08T00:00:00+00:00,126
2024-09-09T00:00:00+00:00,395
2024-09-10T00:00:00+00:00,479
2024-09-11T00:00:00+00:00,289
2024-09-12T00:00:00+00:00,138
2024-09-13T00:00:00+00:00,3
2024-09-14T00:00:00+00:00,40
2024-09-15T00:00:00+00:00,370
2024-09-16T00:00:00+00:00,46
2024-09-17T00:00:00+00:00,121
2024-09-18T00:00:00+00:00,0
2024-09-19T00:00:00+00:00,61
2024-09-20T00:00:00+00:00,225
2024-09-21T00:00:00+00:00,311
2024-09-22T00:00:00+00:00,124
2024-09-23T00:00:00+00:00,220
2024-09-24T00:00:00+00:00,417
2024-09-25T00:00:00+00:00,124
2024-09-26T00:00:00+00:00,33
2024-09-27T00:00:00+00:00,15
2024-09-28T00:00:00+00:00,264
2024-09-29T00:00:00+00:00,955
2024-09-30T00:00:00+00:00,261
2024-10-01T00:00:00+00:00,2
2024-10-02T00:00:00+00:00,86
2024-10-03T00:00:00+00:00,179
2024-10-04T00:00:00+00:00,196
2024-10-05T00:00:00+00:00,13
2024-10-06T00:00:00+00:00,0
2024-10-07T00:00:00+00:00,167
2024-10-08T00:00:00+00:00,0
2024-10-09T00:00:00+00:00,117
2024-10-10T00:00:00+00:00,286
2024-10-11T00:00:00+00:00,201
2024-10-12T00:00:00+00:00,194
2024-10-13T00:00:00+00:00,187
2024-10-14T00:00:00+00:00,227
2024-10-15T00:00:00+00:00,692
2024-10-16T00:00:00+00:00,339
2024-10-17T00:00:00+00:00,331
2024-10-18T00:00:00+00:00,59
2024-10-19T00:00:00+00:00,616
2024-10-20T00:00:00+00:00,277
2024-10-21T00:00:00+00:00,224
2024-10-22T00:00:00+00:00,307
2024-10-23T00:00:00+00:00,267
2024-10-24T00:00:00+00:00,28
2024-10-25T00:00:00+00:00,105
2024-10-26T00:00:00+00:00,70
2024-10-27T00:00:00+00:00,15
2024-10-28T00:00:00+00:00,164
2024-10-29T00:00:00+00:00,96
2024-10-30T00:00:00+00:00,58
2024-10-31T00:00:00+00:00,4
2024-11-01T00:00:00+00:00,334
2024-11-02T00:00:00+00:00,608
2024-11-03T00:00:00+00:00,216
2024-11-04T00:00:00+00:00,521
2024-11-05T00:00:00+00:00,356
2024-11-06T00:00:00+00:00,525
2024-11-07T00:00:00+00:00,0
2024-11-08T00:00:00+00:00,295
2024-11-09T00:00:00+00:00,316
2024-11-10T00:00:00+00:00,90
2024-11-11T00:00:00+00:00,272
2024-11-12T00:00:00+00:00,257
2024-11-13T00:00:00+00:00,137
2024-11-14T00:00:00+00:00,0
2024-11-15T00:00:00+00:00,0
2024-11-16T00:00:00+00:00,46
2024-11-17T00:00:00+00:00,10
2024-11-18T00:00:00+00:00,55
2024-11-19T00:00:00+00:00,0
2024-11-20T00:00:00+00:00,15
2024-11-21T00:00:00+00:00,0
2024-11-22T00:00:00+00:00,2
2024-11-23T00:00:00+00:00,0
2024-11-24T00:00:00+00:00,316
2024-11-25T00:00:00+00:00,366
2024-11-26T00:00:00+00:00,484
2024-11-27T00:00:00+00:00,779
2024-11-28T00:00:00+00:00,135
2024-11-29T00:00:00+00:00,404