day_pt,channel_id,guild_size,total_guilds_following,interval_start_timestamp
2024-12-03T00:00:00+00:00,1285059371818291222,< 30,2,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,630009554985287680,"1,000 - 10,000",1,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,630009554985287680,200 - 1000,3,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,630009554985287680,30 - 200,1,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,630009554985287680,< 30,12,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,630009554985287680,N/A,5,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,749468242216747018,30 - 200,1,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,780395733731639318,< 30,2,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,825293220401381407,N/A,1,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,827607153161273365,< 30,2,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,827607153161273365,N/A,2,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,830412804879155220,< 30,3,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,834770383323791420,"1,000 - 10,000",1,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,834770383323791420,200 - 1000,2,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,834770383323791420,30 - 200,5,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,834770383323791420,< 30,25,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,834770383323791420,N/A,5,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,845646485181300756,30 - 200,1,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,845646485181300756,< 30,2,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,921345773122244618,N/A,1,2024-12-03T00:00:00+00:00
2024-12-03T00:00:00+00:00,966867857298321418,< 30,1,2024-12-03T00:00:00+00:00