day_pt,new_members,pct_retained,interval_start_timestamp
2024-08-06T00:00:00+00:00,6,66.66666666666666,2024-08-06T00:00:00+00:00
2024-08-07T00:00:00+00:00,1,,2024-08-07T00:00:00+00:00
2024-08-08T00:00:00+00:00,4,75,2024-08-08T00:00:00+00:00
2024-08-09T00:00:00+00:00,3,33.33333333333333,2024-08-09T00:00:00+00:00
2024-08-10T00:00:00+00:00,1,100,2024-08-10T00:00:00+00:00
2024-08-11T00:00:00+00:00,4,50,2024-08-11T00:00:00+00:00
2024-08-12T00:00:00+00:00,7,28.57142857142857,2024-08-12T00:00:00+00:00
2024-08-13T00:00:00+00:00,3,100,2024-08-13T00:00:00+00:00
2024-08-14T00:00:00+00:00,1,100,2024-08-14T00:00:00+00:00
2024-08-15T00:00:00+00:00,6,66.66666666666666,2024-08-15T00:00:00+00:00
2024-08-16T00:00:00+00:00,7,71.42857142857143,2024-08-16T00:00:00+00:00
2024-08-17T00:00:00+00:00,3,66.66666666666666,2024-08-17T00:00:00+00:00
2024-08-18T00:00:00+00:00,2,100,2024-08-18T00:00:00+00:00
2024-08-19T00:00:00+00:00,5,80,2024-08-19T00:00:00+00:00
2024-08-20T00:00:00+00:00,1,100,2024-08-20T00:00:00+00:00
2024-08-21T00:00:00+00:00,7,85.71428571428571,2024-08-21T00:00:00+00:00
2024-08-22T00:00:00+00:00,1,,2024-08-22T00:00:00+00:00
2024-08-23T00:00:00+00:00,33,60.60606060606061,2024-08-23T00:00:00+00:00
2024-08-24T00:00:00+00:00,19,68.42105263157895,2024-08-24T00:00:00+00:00
2024-08-25T00:00:00+00:00,24,58.333333333333336,2024-08-25T00:00:00+00:00
2024-08-26T00:00:00+00:00,9,55.55555555555556,2024-08-26T00:00:00+00:00
2024-08-27T00:00:00+00:00,8,62.5,2024-08-27T00:00:00+00:00
2024-08-28T00:00:00+00:00,6,16.666666666666664,2024-08-28T00:00:00+00:00
2024-08-29T00:00:00+00:00,8,87.5,2024-08-29T00:00:00+00:00
2024-08-30T00:00:00+00:00,10,60,2024-08-30T00:00:00+00:00
2024-08-31T00:00:00+00:00,5,60,2024-08-31T00:00:00+00:00
2024-09-01T00:00:00+00:00,9,44.44444444444444,2024-09-01T00:00:00+00:00
2024-09-02T00:00:00+00:00,8,50,2024-09-02T00:00:00+00:00
2024-09-03T00:00:00+00:00,2,100,2024-09-03T00:00:00+00:00
2024-09-04T00:00:00+00:00,3,66.66666666666666,2024-09-04T00:00:00+00:00
2024-09-05T00:00:00+00:00,5,40,2024-09-05T00:00:00+00:00
2024-09-06T00:00:00+00:00,11,63.63636363636363,2024-09-06T00:00:00+00:00
2024-09-07T00:00:00+00:00,12,58.333333333333336,2024-09-07T00:00:00+00:00
2024-09-08T00:00:00+00:00,8,75,2024-09-08T00:00:00+00:00
2024-09-09T00:00:00+00:00,15,80,2024-09-09T00:00:00+00:00
2024-09-10T00:00:00+00:00,29,65.51724137931035,2024-09-10T00:00:00+00:00
2024-09-11T00:00:00+00:00,11,54.54545454545454,2024-09-11T00:00:00+00:00
2024-09-12T00:00:00+00:00,21,57.14285714285714,2024-09-12T00:00:00+00:00
2024-09-13T00:00:00+00:00,5,80,2024-09-13T00:00:00+00:00
2024-09-14T00:00:00+00:00,6,83.33333333333334,2024-09-14T00:00:00+00:00
2024-09-15T00:00:00+00:00,3,33.33333333333333,2024-09-15T00:00:00+00:00
2024-09-16T00:00:00+00:00,4,75,2024-09-16T00:00:00+00:00
2024-09-17T00:00:00+00:00,3,66.66666666666666,2024-09-17T00:00:00+00:00
2024-09-18T00:00:00+00:00,10,80,2024-09-18T00:00:00+00:00
2024-09-19T00:00:00+00:00,3,33.33333333333333,2024-09-19T00:00:00+00:00
2024-09-20T00:00:00+00:00,8,50,2024-09-20T00:00:00+00:00
2024-09-21T00:00:00+00:00,19,73.68421052631578,2024-09-21T00:00:00+00:00
2024-09-22T00:00:00+00:00,8,75,2024-09-22T00:00:00+00:00
2024-09-23T00:00:00+00:00,9,55.55555555555556,2024-09-23T00:00:00+00:00
2024-09-24T00:00:00+00:00,7,71.42857142857143,2024-09-24T00:00:00+00:00
2024-09-25T00:00:00+00:00,18,61.111111111111114,2024-09-25T00:00:00+00:00
2024-09-26T00:00:00+00:00,4,50,2024-09-26T00:00:00+00:00
2024-09-27T00:00:00+00:00,5,40,2024-09-27T00:00:00+00:00
2024-09-28T00:00:00+00:00,2,,2024-09-28T00:00:00+00:00
2024-09-29T00:00:00+00:00,3,33.33333333333333,2024-09-29T00:00:00+00:00
2024-09-30T00:00:00+00:00,19,63.1578947368421,2024-09-30T00:00:00+00:00
2024-10-01T00:00:00+00:00,9,55.55555555555556,2024-10-01T00:00:00+00:00
2024-10-02T00:00:00+00:00,78,58.97435897435898,2024-10-02T00:00:00+00:00
2024-10-03T00:00:00+00:00,13,30.76923076923077,2024-10-03T00:00:00+00:00
2024-10-04T00:00:00+00:00,12,33.33333333333333,2024-10-04T00:00:00+00:00
2024-10-05T00:00:00+00:00,4,100,2024-10-05T00:00:00+00:00
2024-10-06T00:00:00+00:00,13,61.53846153846154,2024-10-06T00:00:00+00:00
2024-10-07T00:00:00+00:00,7,71.42857142857143,2024-10-07T00:00:00+00:00
2024-10-08T00:00:00+00:00,3,66.66666666666666,2024-10-08T00:00:00+00:00
2024-10-09T00:00:00+00:00,5,60,2024-10-09T00:00:00+00:00
2024-10-10T00:00:00+00:00,4,,2024-10-10T00:00:00+00:00
2024-10-11T00:00:00+00:00,4,100,2024-10-11T00:00:00+00:00
2024-10-12T00:00:00+00:00,10,40,2024-10-12T00:00:00+00:00
2024-10-13T00:00:00+00:00,0,,2024-10-13T00:00:00+00:00
2024-10-14T00:00:00+00:00,5,40,2024-10-14T00:00:00+00:00
2024-10-15T00:00:00+00:00,1,,2024-10-15T00:00:00+00:00
2024-10-16T00:00:00+00:00,6,83.33333333333334,2024-10-16T00:00:00+00:00
2024-10-17T00:00:00+00:00,1,100,2024-10-17T00:00:00+00:00
2024-10-18T00:00:00+00:00,4,50,2024-10-18T00:00:00+00:00
2024-10-19T00:00:00+00:00,1,100,2024-10-19T00:00:00+00:00
2024-10-20T00:00:00+00:00,4,25,2024-10-20T00:00:00+00:00
2024-10-21T00:00:00+00:00,9,22.22222222222222,2024-10-21T00:00:00+00:00
2024-10-22T00:00:00+00:00,4,100,2024-10-22T00:00:00+00:00
2024-10-23T00:00:00+00:00,5,20,2024-10-23T00:00:00+00:00
2024-10-24T00:00:00+00:00,2,50,2024-10-24T00:00:00+00:00
2024-10-25T00:00:00+00:00,2,,2024-10-25T00:00:00+00:00
2024-10-26T00:00:00+00:00,1,,2024-10-26T00:00:00+00:00
2024-10-27T00:00:00+00:00,4,50,2024-10-27T00:00:00+00:00
2024-10-28T00:00:00+00:00,1,100,2024-10-28T00:00:00+00:00
2024-10-29T00:00:00+00:00,1,,2024-10-29T00:00:00+00:00
2024-10-30T00:00:00+00:00,2,50,2024-10-30T00:00:00+00:00
2024-10-31T00:00:00+00:00,4,50,2024-10-31T00:00:00+00:00
2024-11-01T00:00:00+00:00,4,50,2024-11-01T00:00:00+00:00
2024-11-02T00:00:00+00:00,2,50,2024-11-02T00:00:00+00:00
2024-11-03T00:00:00+00:00,2,50,2024-11-03T00:00:00+00:00
2024-11-04T00:00:00+00:00,1,100,2024-11-04T00:00:00+00:00
2024-11-05T00:00:00+00:00,3,100,2024-11-05T00:00:00+00:00
2024-11-06T00:00:00+00:00,2,50,2024-11-06T00:00:00+00:00
2024-11-07T00:00:00+00:00,0,,2024-11-07T00:00:00+00:00
2024-11-08T00:00:00+00:00,4,25,2024-11-08T00:00:00+00:00
2024-11-09T00:00:00+00:00,4,50,2024-11-09T00:00:00+00:00
2024-11-10T00:00:00+00:00,0,,2024-11-10T00:00:00+00:00
2024-11-11T00:00:00+00:00,1,100,2024-11-11T00:00:00+00:00
2024-11-12T00:00:00+00:00,2,50,2024-11-12T00:00:00+00:00
2024-11-13T00:00:00+00:00,1,100,2024-11-13T00:00:00+00:00
2024-11-14T00:00:00+00:00,2,100,2024-11-14T00:00:00+00:00
2024-11-15T00:00:00+00:00,6,50,2024-11-15T00:00:00+00:00
2024-11-16T00:00:00+00:00,8,87.5,2024-11-16T00:00:00+00:00
2024-11-17T00:00:00+00:00,8,87.5,2024-11-17T00:00:00+00:00
2024-11-18T00:00:00+00:00,1,100,2024-11-18T00:00:00+00:00
2024-11-19T00:00:00+00:00,4,75,2024-11-19T00:00:00+00:00